"","Name","Platform","Year_of_Release","Genre","Publisher","NA_players","EU_players","JP_players","Other_players","Global_players","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1139","Kirby Air Ride","GC","2003","Racing","Nintendo",10100000,1100000,4500000,4e+05,1620000,61,28,7.9,69,"HAL Labs","E"
"1144","Dragon Quest IV: Chapters of the Chosen","DS","2007","Role-Playing","Square Enix",3e+06,2e+05,12700000,3e+05,1620000,80,44,7.9,50,"ArtePiazza","E10+"
"1145","NFL Street 2","PS2","2004","Sports","Electronic Arts",7900000,6200000,0,2100000,1610000,77,33,8.7,20,"EA Tiburon","E"
"1148","Super Mario Strikers","GC","2005","Sports","Nintendo",9800000,3800000,2e+06,4e+05,1610000,76,39,8.7,55,"Next Level Games","E"
"1151","Mario Hoops 3 on 3","DS","2006","Sports","Nintendo",9800000,4e+05,4900000,9e+05,1600000,69,40,8,37,"Square Enix","E"
"1158","Sonic Heroes","GC","2003","Platform","Sega",10500000,4400000,6e+05,4e+05,1600000,72,49,7.8,125,"Sonic Team","E"
"1160","ESPN NBA 2K5","PS2","2004","Sports","Global Star",12600000,1200000,0,2100000,1590000,83,24,7.5,36,"Visual Concepts","E"
"1166","Pro Evolution Soccer 2008","PS3","2007","Sports","Konami Digital Entertainment",4e+05,1.1e+07,3200000,1300000,1590000,74,19,6.1,47,"Konami","E"
"1168","Pokemon Battle Revolution","Wii","2006","Role-Playing","Nintendo",7800000,3700000,3e+06,1300000,1580000,53,34,6.7,106,"Genius Sonority Inc.","E"
"1170","Dance Dance Revolution: Hottest Party 2","Wii","2008","Simulation","Konami Digital Entertainment",9400000,4800000,1e+05,1500000,1580000,69,8,6.8,6,"Konami","E10+"
"1174","Spyro 2: Season of Flame","GBA","2002","Platform","Vivendi Games",8500000,6500000,0,8e+05,1580000,76,18,7.6,13,"Digital Eclipse","E"
"1179","NCAA Football 2002","PS2","2001","Sports","Electronic Arts",7700000,6e+06,0,2e+06,1570000,90,18,8.7,24,"EA Sports","E"
"1182","Guitar Hero: On Tour Decades","DS","2008","Misc","Activision",8400000,5700000,0,1600000,1570000,72,40,8,5,"Vicarious Visions","E10+"
"1184","Madden NFL 15","XOne","2014","Sports","Electronic Arts",13100000,9e+05,0,1600000,1570000,80,19,6.4,138,"EA Sports","E"
"1185","Conflict: Desert Storm","PS2","2002","Shooter","Gotham Games",9800000,5300000,0,6e+05,1570000,55,10,8.6,45,"Pivotal Games","T"
"1186","Mario Party 7","GC","2005","Misc","Nintendo",9500000,1100000,4600000,4e+05,1570000,64,25,7.9,53,"Hudson","E"
"1187","Dragon Quest V: Hand of the Heavenly Bride","DS","2008","Role-Playing","Square Enix",1700000,2e+05,13600000,2e+05,1570000,84,46,8.5,57,"ArtePiazza","E10+"
"1189","Smuggler's Run","PS2","2000","Racing","Take-Two Interactive",7700000,6e+06,0,2e+06,1560000,79,21,6.8,18,"Rockstar San Diego","T"
"1190","Fight Night Round 3","PS2","2006","Fighting","Electronic Arts",10700000,4e+06,0,1e+06,1560000,84,32,8.1,41,"EA Chicago","T"
"1191","Need for Speed: Most Wanted","X360","2012","Racing","Electronic Arts",6200000,7800000,1e+05,1500000,1560000,83,54,8.5,134,"EA Canada","T"
"1192","Carnival Games: Mini Golf","Wii","2008","Sports","Take-Two Interactive",8600000,5400000,0,1500000,1560000,38,10,5.7,7,"Cat Daddy Games","E"
"1197","Pokemon Mystery Dungeon: Explorers of Sky","DS","2009","Role-Playing","Nintendo",5700000,4300000,4400000,1200000,1560000,54,26,9,133,"ChunSoft","E"
"1201","LEGO Pirates of the Caribbean: The Video Game","Wii","2011","Action","Disney Interactive Studios",7300000,6700000,0,1500000,1550000,73,14,7,13,"Traveller's Tales","E10+"
"1202","Stuntman","PS2","2002","Racing","Atari",7600000,5900000,0,2e+06,1550000,71,37,5.7,36,"Reflections Interactive","T"
"1203","Tom Clancy's Rainbow Six 3","XB","2003","Shooter","Ubisoft",9100000,5700000,0,7e+05,1550000,86,39,8.5,31,"Ubisoft","M"
"1204","LEGO Harry Potter: Years 1-4","X360","2010","Action","Warner Bros. Interactive Entertainment",9500000,4600000,0,1400000,1550000,79,58,8,62,"Traveller's Tales","E10+"
"1206","Spider-Man 2: Enter: Electro","PS","2001","Action","Activision",5700000,8700000,2e+05,9e+05,1550000,74,15,8.7,35,"Vicarious Visions","E"
"1207","Guitar Hero 5","Wii","2009","Misc","Activision",9200000,4800000,0,1500000,1550000,89,25,6.9,49,"Vicarious Visions","T"
"1213","Dark Cloud","PS2","2000","Role-Playing","Sony Computer Entertainment",8300000,4400000,8e+05,1900000,1540000,80,27,8.2,99,"Level 5","T"
"1215","Active Life: Outdoor Challenge","Wii","2008","Sports","Atari",7800000,4300000,1900000,1400000,1540000,69,6,8.1,14,"h.a.n.d. Inc.","E"
"1218","MVP Baseball 2005","PS2","2005","Sports","Electronic Arts",12600000,7e+05,0,2100000,1540000,87,25,8.6,47,"EA Sports","E"
"1221","Go Vacation","Wii","2011","Misc","Namco Bandai Games",4200000,6500000,3300000,1400000,1530000,64,28,7.8,13,"Namco Bandai Games","E10+"
"1222","Pro Evolution Soccer 2013","PS3","2012","Sports","Konami Digital Entertainment",1800000,6300000,4900000,2400000,1530000,82,37,6.7,146,"Konami","E"
"1226","Mario Golf: Toadstool Tour","GC","2003","Sports","Nintendo",10900000,1500000,2500000,4e+05,1530000,81,49,8,56,"Camelot Software Planning","E"
"1229","Resident Evil: The Umbrella Chronicles","Wii","2007","Action","Capcom",6700000,4300000,2900000,1400000,1520000,75,47,7.6,122,"Cavia Inc.","M"
"1231","The Simpsons Skateboarding","PS2","2002","Sports","Electronic Arts",3600000,9e+06,0,2700000,1520000,38,21,5,26,"The Code Monkeys","T"
"1239","Fight Night Round 4","PS3","2009","Fighting","Electronic Arts",9200000,4e+06,0,2e+06,1520000,88,46,7.6,95,"EA Canada","T"
"1240","Super Monkey Ball 2","GC","2002","Puzzle","Atari",11100000,3100000,6e+05,4e+05,1520000,87,34,8.5,51,"Amusement Vision","E"
"1241","Pac-Man World 2","PS2","2002","Action","Namco Bandai Games",12600000,5e+05,0,2100000,1510000,73,19,7.8,26,"Namco","E"
"1243","MySims Kingdom","Wii","2008","Simulation","Electronic Arts",7e+06,6400000,1e+05,1600000,1510000,76,19,8.1,24,"EA Redwood Shores","E"
"1250","The Simpsons Game","PS2","2007","Action","Electronic Arts",3500000,3e+05,0,11300000,1510000,68,10,8.2,27,"Electronic Arts","T"
"1252","The Simpsons Game","DS","2007","Action","Electronic Arts",5600000,7700000,0,1700000,1510000,69,17,7.3,18,"Griptonite Games","T"
"1255","SoulCalibur II","GC","2003","Fighting","Namco Bandai Games",9900000,3200000,1100000,8e+05,1500000,93,45,9.1,135,"Namco","T"
"1256","Call of Duty 3","PS3","2006","Shooter","Activision",6e+06,6200000,3e+05,2600000,1500000,80,43,6.9,92,"Treyarch","T"
"1257","Tokyo Xtreme Racer Zero","PS2","2000","Racing","Crave Entertainment",6600000,5200000,1500000,1700000,1500000,76,15,8.9,64,"Genki","E"
"1259","Red Faction II","PS2","2002","Shooter","THQ",4900000,7800000,0,2300000,1500000,84,30,8.3,35,"Volition Inc.","M"
"1260","Madden NFL 2001","PS2","2000","Sports","Electronic Arts",11900000,7e+05,5e+05,2e+06,1500000,91,25,7.7,7,"EA Sports","E"
"1265","Star Wars: The Force Unleashed II","PS3","2010","Action","LucasArts",8e+06,4900000,0,2100000,1500000,63,41,6.8,121,"LucasArts","T"
"1267","Rock Band 2","PS3","2008","Misc","MTV Games",11300000,2e+06,0,1600000,1490000,91,24,7.9,88,"Harmonix Music Systems","T"
"1268","Final Fantasy: Crystal Chronicles","GC","2003","Role-Playing","Nintendo",7200000,3800000,3600000,4e+05,1490000,80,55,8.1,94,"Square Enix","T"
"1269","Medal of Honor: Frontline","XB","2002","Shooter","Electronic Arts",1e+07,4300000,0,6e+05,1490000,81,18,6.9,23,"EA LA","T"
"1270","Madden NFL 09","PS2","2008","Sports","Electronic Arts",12200000,0,0,2700000,1490000,67,4,7,24,"EA Tiburon","E"
"1277","Dirge of Cerberus: Final Fantasy VII","PS2","2006","Shooter","Square Enix",4700000,3700000,5200000,1200000,1480000,57,51,6.9,103,"Square Enix","T"
"1281","Sonic Rivals 2","PSP","2007","Racing","Sega",4400000,6700000,0,3700000,1480000,60,24,7.8,35,"Backbone Entertainment","E"
"1284","Drawn To Life: SpongeBob SquarePants Edition","DS","2008","Adventure","THQ",9900000,3500000,0,1300000,1480000,68,12,5.5,4,"Altron","E"
"1286","007: Quantum of Solace","X360","2008","Action","Activision",8200000,5100000,1e+05,1400000,1480000,65,69,7.1,71,"Treyarch","T"
"1287","Major League Baseball 2K5","PS2","2005","Sports","Take-Two Interactive",7200000,5600000,0,1900000,1480000,82,19,7.4,20,"Kush Games","E"
"1288","Fight Night 2004","PS2","2004","Fighting","Electronic Arts",10800000,2e+06,0,2e+06,1480000,85,43,9,25,"EA Sports","T"
"1289","LEGO Star Wars III: The Clone Wars","X360","2011","Action","LucasArts",8400000,5100000,0,1300000,1480000,75,43,7.8,42,"Traveller's Tales","E10+"
"1290","Tom Clancy's Splinter Cell: Pandora Tomorrow","XB","2004","Action","Ubisoft",8200000,5900000,0,7e+05,1480000,93,74,8.6,68,"Ubisoft Shanghai","T"
"1300","Super Scribblenauts","DS","2010","Puzzle","Warner Bros. Interactive Entertainment",10600000,2900000,0,1100000,1460000,81,53,8.2,46,"5TH Cell","E10+"
"1304","Super Monkey Ball","GC","2001","Puzzle","Atari",9500000,3700000,1e+06,4e+05,1460000,87,28,7.9,46,"Amusement Vision","E"
"1305","SoulCalibur IV","PS3","2008","Fighting","Ubisoft",7200000,4e+06,1400000,2e+06,1460000,85,65,7.9,129,"Namco","T"
"1309","Mario Superstar Baseball","GC","2005","Sports","Nintendo",9300000,2400000,2500000,4e+05,1460000,76,38,8.6,41,"Namco","E"
"1314","Onimusha 3: Demon Siege","PS2","2004","Action","Capcom",3700000,4700000,5400000,7e+05,1450000,85,53,8.6,73,"Capcom","M"
"1316","Red Dead Revolver","PS2","2004","Shooter","Take-Two Interactive",7100000,5500000,0,1900000,1450000,73,42,7.8,70,"Rockstar San Diego","M"
"1317","Resident Evil: Outbreak","PS2","2003","Action","Capcom",5400000,3500000,4600000,1e+06,1450000,71,40,8.3,94,"Capcom","M"
"1324","LEGO Battles: Ninjago","DS","2011","Strategy","Warner Bros. Interactive Entertainment",10200000,3200000,0,1100000,1450000,59,14,6.9,11,"Hellbent Games","E"
"1328","SingStar Pop","PS2","2007","Misc","Sony Computer Entertainment",4e+05,10800000,0,3200000,1440000,73,13,7.5,8,"SCEE London Studio","E10+"
"1331","Disney Infinity","X360","2013","Action","Disney Interactive Studios",9700000,3400000,0,1300000,1440000,74,38,6.5,79,"Avalanche Software","E10+"
"1332","My Word Coach","DS","2007","Misc","Ubisoft",3700000,8900000,0,1800000,1440000,71,7,6.8,5,"Ubisoft","E"
"1333","Tiger Woods PGA Tour 2005","PS2","2004","Sports","Electronic Arts",10300000,3200000,0,9e+05,1440000,88,30,8.2,20,"EA Sports","E"
"1334","NCAA Football 2003","PS2","2002","Sports","Electronic Arts",11600000,8e+05,0,1900000,1440000,91,19,8.6,27,"EA Sports","E"
"1336","Frogger 2: Swampy's Revenge","PS","1999","Action","Hasbro Interactive",8e+06,5400000,0,9e+05,1430000,77,4,7.9,8,"Blitz Games","E"
"1337","WWE SmackDown vs Raw 2008","X360","2007","Fighting","THQ",9200000,3800000,0,1300000,1430000,71,41,6.8,48,"Yuke's","T"
"1338","Kinect Joy Ride","X360","2010","Racing","Microsoft Game Studios",9200000,3900000,0,1200000,1430000,52,46,5,20,"BigPark","E"
"1339","Smarty Pants","Wii","2007","Misc","Electronic Arts",5200000,7500000,0,1600000,1430000,65,26,7.6,10,"Planet Moon Studios","E"
"1343","Classic NES Series: Super Mario Bros.","GBA","2004","Platform","Nintendo",0,0,13900000,3e+05,1430000,84,14,8.6,44,"Nintendo","E"
"1346","Hasbro Family Game Night","Wii","2008","Puzzle","Electronic Arts",9600000,3300000,0,1300000,1430000,63,12,7.5,11,"EA Bright Light","E"
"1347","Sonic Rivals","PSP","2006","Racing","Sega",7300000,4200000,0,2700000,1420000,64,25,7.8,38,"Backbone Entertainment","E"
"1350","Cabela's Big Game Hunter","PS2","2002","Sports","Activision",7e+06,5400000,0,1800000,1420000,59,7,7.8,12,"Sand Grain Studios","T"
"1354","NFL Street","PS2","2004","Sports","Electronic Arts",11500000,8e+05,0,1900000,1420000,80,36,8.9,45,"EA Tiburon","E"
"1358","Tiger Woods PGA Tour 09 All-Play","Wii","2008","Sports","Electronic Arts",8e+06,4700000,0,1400000,1420000,81,18,8.7,34,"EA Tiburon","E"
"1361","Rayman Raving Rabbids","Wii","2006","Misc","Ubisoft",12200000,6e+05,2e+05,1100000,1420000,76,54,7.9,116,"Ubisoft Montpellier","E"
"1362","Dragon Quest Monsters: Joker 2","DS","2010","Role-Playing","Square Enix",9e+05,7e+05,12400000,2e+05,1410000,77,33,7.3,15,"TOSE","E"
"1363","UFC Undisputed 2010","PS3","2010","Fighting","THQ",8e+06,4e+06,2e+05,1800000,1410000,85,54,7.2,48,"Yuke's","T"
"1367","Sonic's Ultimate Genesis Collection","X360","2009","Misc","Sega",8500000,4300000,0,1300000,1410000,79,45,8.5,40,"Backbone Entertainment","E10+"
"1373","Twisted Metal: Black","PS2","2001","Racing","Sony Computer Entertainment",11900000,1700000,0,5e+05,1410000,91,15,8.4,98,"Incognito Inc.","M"
"1374","NASCAR 2005: Chase for the Cup","PS2","2004","Racing","Electronic Arts",6900000,5400000,0,1800000,1410000,87,19,8.4,15,"EA Tiburon","E"
"1375","Fight Night Round 4","X360","2009","Fighting","Electronic Arts",9500000,3300000,0,1300000,1400000,87,76,8.1,86,"EA Canada","T"
"1376","Spider-Man: The Movie","XB","2002","Action","Activision",10700000,2800000,0,5e+05,1400000,79,29,7.5,11,"Treyarch","E"
"1377","LEGO Star Wars II: The Original Trilogy","PSP","2006","Action","LucasArts",5800000,5e+06,0,3200000,1400000,83,11,8.6,26,"Traveller's Tales","E10+"
"1381","LEGO Indiana Jones 2: The Adventure Continues","Wii","2009","Action","Activision",9e+06,3800000,0,1200000,1400000,72,13,6.1,14,"Traveller's Tales","E10+"
"1382","Ridge Racer","PSP","2004","Racing","Sony Computer Entertainment",3600000,4400000,3200000,2700000,1400000,88,58,8.2,65,"Namco","E"
"1383","Sonic Advance 3","GBA","2004","Platform","THQ",7400000,5200000,8e+05,6e+05,1400000,79,30,8.4,34,"Dimps Corporation","E"
"1386","Colin McRae Rally 3","PS2","2002","Racing","Codemasters",3e+05,10500000,2e+05,3e+06,1400000,86,25,7.7,24,"Codemasters","E"
"1388","Madden NFL 2002","PS","2001","Sports","Electronic Arts",7800000,5300000,0,9e+05,1390000,88,9,8,7,"EA Sports","E"
"1392","Dynasty Warriors 5","PS2","2005","Action","Tecmo Koei",2400000,1800000,9100000,6e+05,1390000,69,29,8.8,68,"Omega Force","T"
"1398","True Crime: Streets of LA","XB","2003","Action","Activision",9600000,3700000,0,5e+05,1380000,77,39,7.8,28,"Luxoflux, Inc.","M"
"1407","Dave Mirra Freestyle BMX 2","PS2","2001","Sports","Acclaim Entertainment",6700000,5300000,0,1800000,1380000,81,21,8.1,18,"Z-Axis, Ltd.","T"
"1408","Bakugan: Battle Brawlers","DS","2009","Action","Activision",12600000,2e+05,0,1e+06,1380000,60,6,6.7,7,"Now Production","E"
"1409","LEGO Indiana Jones: The Original Adventures","PS2","2008","Action","LucasArts",6e+06,1e+05,0,7600000,1370000,77,12,8.4,16,"Traveller's Tales","E10+"
"1412","Final Fantasy XII: Revenant Wings","DS","2007","Role-Playing","Square Enix",3300000,4100000,5400000,1e+06,1370000,81,44,6.1,60,"Square Enix, Think and Feel","E10+"
"1413","Call of Duty: Black Ops","Wii","2010","Shooter","Activision",8e+06,4500000,0,1200000,1370000,80,25,5.8,87,"Treyarch","M"
"1415","Star Wars Knights of the Old Republic II: The Sith Lords","XB","2004","Role-Playing","Activision",9900000,3300000,0,5e+05,1370000,86,67,8.6,140,"Obsidian Entertainment","T"
"1417","The Sims 2","PSP","2005","Simulation","Electronic Arts",4900000,5500000,0,3300000,1370000,65,17,6.9,32,"Maxis","T"
"1419","Ridge Racer 7","PS3","2006","Racing","Namco Bandai Games",2400000,7e+06,1600000,2600000,1360000,78,45,7.1,52,"Namco Bandai Games","E"
"1420","Tom Clancy's Ghost Recon 2","XB","2004","Shooter","Ubisoft",8600000,4500000,0,6e+05,1360000,80,53,8.9,58,"Red Storm Entertainment","T"
"1422","Crash Bandicoot 2: N-Tranced","GBA","2003","Platform","Vivendi Games",6300000,6600000,0,7e+05,1360000,75,21,7.8,30,"Vicarious Visions","E"
"1428","Dead to Rights","PS2","2002","Shooter","Electronic Arts",6700000,5200000,0,1700000,1360000,73,20,8.9,36,"Namco","M"
"1429","WWE '13","PS3","2012","Action","THQ",5100000,6e+06,0,2500000,1350000,76,24,8.1,99,"THQ","T"
"1431","Hasbro Family Game Night 2","Wii","2009","Misc","Electronic Arts",7e+06,5200000,0,1300000,1350000,63,16,6.3,6,"Electronic Arts","E"
"1433","Gardening Mama","DS","2009","Puzzle","505 Games",7900000,4200000,1e+05,1300000,1350000,60,17,9.3,4,"Taito Corporation","E"
"1437","Samurai Warriors","PS2","2004","Action","Electronic Arts",2200000,5e+05,10600000,2e+05,1350000,73,37,8.7,23,"Omega Force","T"
"1443","FIFA Soccer 08","PSP","2007","Sports","Electronic Arts",2e+06,7600000,0,3900000,1350000,79,7,7.4,15,"EA Canada","E"
"1444","FIFA Soccer 09","PSP","2008","Sports","Electronic Arts",2300000,7300000,2e+05,3700000,1350000,84,8,8.9,21,"EA Canada","E"
"1446","FIFA Soccer 08","X360","2007","Sports","Electronic Arts",3100000,8900000,1e+05,1400000,1350000,82,43,7.9,57,"EA Canada","E"
"1447","Test Drive","PS2","2002","Racing","Atari",9500000,2100000,1e+05,1800000,1340000,73,19,7.4,23,"Pitbull Syndicate","T"
"1449","Tom Clancy's Rainbow Six: Vegas 2","PS3","2008","Shooter","Ubisoft",6600000,4400000,4e+05,2100000,1340000,81,32,7.9,93,"Ubisoft Montreal","M"
"1453","Marvel vs. Capcom 3: Fate of Two Worlds","PS3","2011","Fighting","Capcom",8100000,2800000,1100000,1400000,1340000,84,56,7.3,147,"Capcom","T"
"1455","Doom 3","XB","2005","Shooter","Activision",8500000,4300000,0,6e+05,1340000,88,71,7.4,116,"Vicarious Visions","M"
"1457","F1 2010","PS3","2010","Racing","Codemasters",2500000,7500000,8e+05,2600000,1340000,84,46,7.8,83,"Codemasters Birmingham","E"
"1458","Monster Hunter Freedom","PSP","2005","Role-Playing","Capcom",2400000,3e+05,10300000,4e+05,1340000,71,34,8.6,78,"Capcom","T"
"1459","Donkey Kong Jungle Beat","GC","2004","Platform","Nintendo",8400000,2200000,2400000,4e+05,1340000,80,49,8.3,30,"Nintendo","E10+"
"1460","Need for Speed Carbon","PS2","2006","Racing","Electronic Arts",12200000,5e+05,5e+05,1e+05,1340000,74,26,8.4,60,"EA Canada","E10+"
"1464","Max Payne 2: The Fall of Max Payne","PS2","2003","Shooter","Take-Two Interactive",6500000,5100000,0,1700000,1340000,73,27,8.2,63,"Rockstar Vienna","M"
"1466","MVP Baseball 2004","PS2","2004","Sports","Electronic Arts",1.1e+07,6e+05,0,1800000,1340000,90,28,8.6,51,"EA Sports","E"
"1477","Corvette","PS2","2004","Racing","TDK Mediactive",6500000,5100000,0,1700000,1330000,57,15,6.5,21,"Steel Monkeys","E"
"1478","WWE SmackDown vs Raw 2008","PS3","2007","Fighting","THQ",6200000,4900000,1e+05,2e+06,1330000,74,27,7.3,41,"Yuke's","T"
"1479","Skylanders SWAP Force","X360","2013","Platform","Activision",8600000,3400000,0,1200000,1320000,83,37,5.7,45,"Vicarious Visions","E10+"
"1481","UFC Undisputed 2010","X360","2010","Fighting","THQ",9e+06,3100000,0,1100000,1320000,84,70,6.7,80,"Yuke's","T"
"1485","NFL 2K3","PS2","2002","Sports","Atari",10600000,8e+05,0,1800000,1320000,93,20,7.4,25,"Visual Concepts","E"
"1490","Your Shape: Fitness Evolved","X360","2010","Sports","Ubisoft",7900000,4100000,0,1100000,1320000,73,32,7.5,25,"Ubisoft Montreal","E"
"1491","Need for Speed Underground Rivals","PSP","2005","Racing","Electronic Arts",6900000,3700000,2e+05,2400000,1320000,74,36,8.5,38,"Team Fusion","E"
"1498","LEGO Harry Potter: Years 1-4","PS3","2010","Action","Warner Bros. Interactive Entertainment",5500000,5500000,0,2100000,1310000,79,42,8,52,"Traveller's Tales","E10+"
"1499","Madagascar","PS2","2005","Platform","Activision",7800000,4500000,0,7e+05,1310000,69,25,7.4,25,"Toys for Bob","E10+"
"1503","Turok: Evolution","PS2","2002","Shooter","Acclaim Entertainment",6400000,5e+06,0,1700000,1310000,61,20,7.3,27,"Acclaim","M"
"1505","Burnout 3: Takedown","XB","2004","Racing","Electronic Arts",8400000,4300000,0,4e+05,1310000,94,76,7.2,139,"Criterion Games","T"
"1506","The Beatles: Rock Band","X360","2009","Misc","MTV Games",9700000,2300000,0,1100000,1300000,89,76,8.6,127,"Harmonix Music Systems","T"
"1509","NBA Live 07","PS2","2006","Sports","Electronic Arts",10700000,4e+05,2e+05,1700000,1300000,63,12,6,39,"EA Sports","E"
"1511","Skylanders Giants","X360","2012","Action","Activision",7500000,4400000,0,1100000,1300000,80,35,6.6,38,"Toys for Bob","E10+"
"1512","SingStar '80s","PS2","2005","Misc","Sony Computer Entertainment",2700000,2e+05,0,10200000,1300000,78,22,8.3,6,"SCEA","T"
